월,평균플레이어,증감,증감률,피크플레이어,날짜,증감률_num,이동평균_3개월,연도
2016년 2월,1594.7,1594.2,300989.87%,24496,2016-02-01,300989.87,,2016
2016년 3월,34947.5,33352.7,2091.45%,64256,2016-03-01,2091.45,,2016
2016년 4월,19843.4,-15104.0,-43.22%,43286,2016-04-01,-43.22,18795.2,2016
2016년 5월,9654.5,-10188.9,-51.35%,20528,2016-05-01,-51.35,21481.8,2016
2016년 6월,7569.7,-2084.8,-21.59%,18642,2016-06-01,-21.59,12355.866666666667,2016
2016년 7월,9299.8,1730.1,22.86%,21032,2016-07-01,22.86,8841.333333333334,2016
2016년 8월,5507.7,-3792.1,-40.78%,9367,2016-08-01,-40.78,7459.066666666667,2016
2016년 9월,4372.4,-1135.3,-20.61%,7360,2016-09-01,-20.61,6393.299999999999,2016
2016년 10월,9257.2,4884.8,111.72%,18675,2016-10-01,111.72,6379.099999999999,2016
2016년 11월,6878.9,-2378.2,-25.69%,13674,2016-11-01,-25.69,6836.166666666667,2016
2016년 12월,7976.0,1097.0,15.95%,18787,2016-12-01,15.95,8037.366666666666,2016
2017년 1월,11798.9,3822.9,47.93%,24014,2017-01-01,47.93,8884.6,2017
2017년 2월,9887.9,-1910.9,-16.20%,17590,2017-02-01,-16.2,9887.6,2017
2017년 3월,9693.0,-194.9,-1.97%,17295,2017-03-01,-1.97,10459.933333333334,2017
2017년 4월,7653.6,-2039.5,-21.04%,11538,2017-04-01,-21.04,9078.166666666666,2017
2017년 5월,7882.6,229.1,2.99%,11896,2017-05-01,2.99,8409.733333333332,2017
2017년 6월,8904.6,1022.0,12.97%,18718,2017-06-01,12.97,8146.933333333334,2017
2017년 7월,15538.2,6633.5,74.50%,28122,2017-07-01,74.5,10775.133333333333,2017
2017년 8월,8847.5,-6690.6,-43.06%,13774,2017-08-01,-43.06,11096.766666666668,2017
2017년 9월,6869.3,-1978.2,-22.36%,10745,2017-09-01,-22.36,10418.333333333334,2017
2017년 10월,8141.8,1272.5,18.52%,13654,2017-10-01,18.52,7952.866666666666,2017
2017년 11월,8676.5,534.7,6.57%,17839,2017-11-01,6.57,7895.866666666666,2017
2017년 12월,9824.1,1147.6,13.23%,18346,2017-12-01,13.23,8880.800000000001,2017
2018년 1월,11707.1,1883.0,19.17%,20139,2018-01-01,19.17,10069.233333333332,2018
2018년 2월,9034.8,-2672.3,-22.83%,14601,2018-02-01,-22.83,10188.666666666666,2018
2018년 3월,8053.6,-981.2,-10.86%,12668,2018-03-01,-10.86,9598.5,2018
2018년 4월,7529.6,-524.0,-6.51%,26926,2018-04-01,-6.51,8206.0,2018
2018년 5월,27545.5,20015.9,265.83%,54212,2018-05-01,265.83,14376.233333333332,2018
2018년 6월,17362.4,-10183.1,-36.97%,30055,2018-06-01,-36.97,17479.166666666668,2018
2018년 7월,16584.1,-778.3,-4.48%,24692,2018-07-01,-4.48,20497.333333333332,2018
2018년 8월,16887.2,303.1,1.83%,27255,2018-08-01,1.83,16944.566666666666,2018
2018년 9월,11765.5,-5121.7,-30.33%,19826,2018-09-01,-30.33,15078.933333333329,2018
2018년 10월,10052.6,-1712.9,-14.56%,16189,2018-10-01,-14.56,12901.766666666665,2018
2018년 11월,9503.0,-549.5,-5.47%,16133,2018-11-01,-5.47,10440.366666666667,2018
2018년 12월,11160.1,1657.1,17.44%,22842,2018-12-01,17.44,10238.566666666666,2018
2019년 1월,15249.1,4089.0,36.64%,24470,2019-01-01,36.64,11970.733333333332,2019
2019년 2월,12724.4,-2524.8,-16.56%,19330,2019-02-01,-16.56,13044.533333333333,2019
